builderCandidates,builderProductCandidates,completion,confidence,finalMap,firstOccupancy,grading,infrastructure,knownLifecycleAdditions,limitations,mapRecordingDate,matchedAddressPointCount,modelHomes,neighborhoodCandidates,partialOccupancy,planning,recording,reviewStatus,roads,sales,sourceIds,substantialOccupancy,tentativeMap,tractId,tractNumber,utilities,verticalConstruction,villageCandidates
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-WYETH,unknown,medium,MM 782/38-44,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-04-22,78,unknown,Wyeth 1,unknown,not_reconstructed,1999-04-22,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15625,15625,unknown,unknown,Oak Knoll
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-AMBERLY-LANE,unknown,medium,MM 784/32-35,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-07,57,unknown,Amberly Lane 1,unknown,not_reconstructed,1999-05-07,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15626,15626,unknown,unknown,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-MAPLEWOOD,unknown,medium,MM 785/17-20,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-14,47,unknown,Maplewood 2,unknown,not_reconstructed,1999-05-14,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15627,15627,unknown,unknown,Oak Knoll
,,unknown,medium,MM 786/23-26,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-25,42,unknown,Whispering Creek 1,unknown,not_reconstructed,1999-05-25,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15628,15628,unknown,unknown,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-SARASOTA,unknown,medium,MM 787/43-47,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-06-30,43,unknown,Sarasota 1,unknown,not_reconstructed,1999-06-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15629,15629,unknown,unknown,Oak Knoll
,,unknown,medium,MM 785/10-16,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-14,118,unknown,The Trails,unknown,not_reconstructed,1999-05-14,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15630,15630,unknown,unknown,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-SARASOTA,unknown,medium,MM 795/26-30,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-09-14,51,unknown,Sarasota 2,unknown,not_reconstructed,2000-09-14,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15631,15631,unknown,unknown,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-MAPLEWOOD,unknown,medium,MM 790/34-37,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-08-30,37,unknown,Maplewood 1,unknown,not_reconstructed,1999-08-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15632,15632,unknown,unknown,Oak Knoll
Centex Homes,LH-PRODUCT-COVENANT-HILLS-MONTANEZ,product_level_upper_bound_only,medium,MM 897/28-33,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2008-12-24,1,unknown,Montanez,unknown,not_reconstructed,2008-12-24,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-15793,15793,unknown,unknown,Covenant Hills
,,unknown,recording_high_physical_lifecycle_unknown,MM 795/1-16,unknown,unknown,unknown,,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-14,0,unknown,,unknown,not_reconstructed,2000-06-14,physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS,unknown,not_reconstructed,LH-TRACT-15813,15813,unknown,unknown,
,,unknown,medium,MM 797/32-39,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-05-10,155,unknown,Chambray,unknown,not_reconstructed,2000-05-10,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15827,15827,unknown,unknown,Bridgepark
K. Hovnanian;Standard Pacific,LH-PRODUCT-AVENDALE-FRONT-STREET;LH-PRODUCT-TOWNSHIP-THE-GABLES,unknown,medium,MM 794/33-44,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-01-14,209,unknown,Front Street;The Gables 2,unknown,not_reconstructed,2000-01-14,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15884,15884,unknown,unknown,Avendale;Township
Centex Homes,LH-PRODUCT-TOWNSHIP-THREE-VINES,unknown,medium,MM 804/30-33,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-07-27,90,unknown,Three Vines,unknown,not_reconstructed,2000-07-27,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15885,15885,unknown,unknown,Township
K. Hovnanian,LH-PRODUCT-TOWNSHIP-THE-GABLES,unknown,medium,MM 807/25-28,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-10-30,51,unknown,The Gables 2,unknown,not_reconstructed,2000-10-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15886,15886,unknown,unknown,Flintridge;Township
Greystone,LH-PRODUCT-TOWNSHIP-ALDENHOUSE,unknown,medium,MM 802/25-28,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-02,73,unknown,Aldenhouse,unknown,not_reconstructed,2000-06-02,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15887,15887,unknown,unknown,Township
K. Hovnanian,LH-PRODUCT-TOWNSHIP-THE-GABLES,unknown,medium,MM 802/14-17,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-02,39,unknown,The Gables 1,unknown,not_reconstructed,2000-06-02,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15888,15888,unknown,unknown,Flintridge;Township
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-RESTON,unknown,medium,MM 803/48-50,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-07-06,22,unknown,Reston 1,unknown,not_reconstructed,2000-07-06,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15901,15901,unknown,unknown,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-RESTON,unknown,medium,MM 803/28-30,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-16,33,unknown,Reston 2,unknown,not_reconstructed,2000-06-16,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15902,15902,unknown,unknown,Flintridge
John Laing Homes,LH-PRODUCT-FLINTRIDGE-CHIMNEY-CORNERS,unknown,medium,MM 803/22-27,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-16,36,unknown,Chimney Corners 2,unknown,not_reconstructed,2000-06-16,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15903,15903,unknown,unknown,Flintridge
Warmington Homes,LH-PRODUCT-FLINTRIDGE-BELMONT-HILL,unknown,medium,MM 800/48-50,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-02,29,unknown,Belmont Hill 1,unknown,not_reconstructed,2000-06-02,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15904,15904,unknown,unknown,Flintridge
Warmington Homes,LH-PRODUCT-FLINTRIDGE-BELMONT-HILL,unknown,medium,MM 805/6-8,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-08-16,43,unknown,Belmont Hill 2,unknown,not_reconstructed,2000-08-16,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15905,15905,unknown,unknown,Flintridge
John Laing Homes,LH-PRODUCT-FLINTRIDGE-CHIMNEY-CORNERS,unknown,medium,MM 803/16-21,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-16,56,unknown,Chimney Corners 1,unknown,not_reconstructed,2000-06-16,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15906,15906,unknown,unknown,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-RESTON,unknown,medium,MM 805/26-28,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-08-25,28,unknown,Reston 3,unknown,not_reconstructed,2000-08-25,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15907,15907,unknown,unknown,Flintridge
Centex Homes,LH-PRODUCT-FLINTRIDGE-CLIFTON-HEIGHTS,unknown,medium,MM 820/10-15,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-06-29,33,unknown,Clifton Heights 2,unknown,not_reconstructed,2001-06-29,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15908,15908,unknown,unknown,Flintridge
Centex Homes,LH-PRODUCT-FLINTRIDGE-CLIFTON-HEIGHTS,unknown,medium,MM 820/29-34,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-06-29,21,unknown,Clifton Heights 1,unknown,not_reconstructed,2001-06-29,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15909,15909,unknown,unknown,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-HAMPTON-ROAD,unknown,medium,MM 806/33-37,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-10-13,36,unknown,Hampton Road 1,unknown,not_reconstructed,2000-10-13,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15910,15910,unknown,unknown,Flintridge
,,unknown,medium,MM 806/27-30,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-10-11,37,unknown,Reston 4,unknown,not_reconstructed,2000-10-11,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15911,15911,unknown,unknown,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-HAMPTON-ROAD,unknown,medium,MM 804/1-4,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-06-22,31,unknown,Hampton Road 2,unknown,not_reconstructed,2000-06-22,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15912,15912,unknown,unknown,Flintridge
,,unknown,medium,MM 817/45-47,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-05-30,18,unknown,Westcott 2,unknown,not_reconstructed,2001-05-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15914,15914,unknown,unknown,Bridgepark
,,unknown,medium,MM 805/29-34,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-08-25,61,unknown,Westcott 1,unknown,not_reconstructed,2000-08-25,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15915,15915,unknown,unknown,Bridgepark
Laing,LH-PRODUCT-COVENANT-HILLS-SAN-DONATO,product_level_upper_bound_only,medium,MM 842/8-20,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-04-04,81,unknown,CH Custom;San Donato,unknown,not_reconstructed,2003-04-04,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,unknown,not_reconstructed,LH-TRACT-15985,15985,unknown,unknown,Avendale;Covenant Hills
,,unknown,recording_high_physical_lifecycle_unknown,MM 849/1-15,unknown,unknown,unknown,,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2003-08-28,0,unknown,,unknown,not_reconstructed,2003-08-28,physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS,unknown,not_reconstructed,LH-TRACT-15986,15986,unknown,unknown,
