nodeId,nodeType,name,parentNodeId,parentRelationship,relationshipStatus,sourceIds,geometryStatus,validFrom,validTo,confidence,limitations,notes
LH-VILLAGE-ECHO-RIDGE,village,Echo Ridge,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,,boundary_not_yet_sourced,,,unknown,All milestone fields unresolved,Village name requires planned-map crosswalk
LH-VILLAGE-TOWNSHIP,village,Township,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,,boundary_not_yet_sourced,,,unknown,All milestone fields unresolved,Village name requires planned-map crosswalk
LH-VILLAGE-COVENANT-HILLS,village,Covenant Hills,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,LH-SRC-LARMAC-TIMELINE,boundary_not_yet_sourced,,,unknown,Gated-village tract and builder crosswalk unresolved,Village clubhouse opened December 2004
LH-TRACT-15615,recorded_tract_map,Tract 15615,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1998-12-11,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 777/14-31; possible_parent_map.
LH-TRACT-15616,recorded_tract_map,Tract 15616,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-06-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 787/39-42; possible_nested_subdivision_map.
LH-TRACT-15617,recorded_tract_map,Tract 15617,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-07-28,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 787/48-50; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15618,recorded_tract_map,Tract 15618,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-28,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 786/44-47; possible_nested_subdivision_map.
LH-TRACT-15619,recorded_tract_map,Tract 15619,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-03-09,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 814/3-6; partial_overlap_review_required.
LH-TRACT-15620,recorded_tract_map,Tract 15620,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-15,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 785/6-9; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15621,recorded_tract_map,Tract 15621,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-03-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 781/14-16; possible_nested_subdivision_map.
LH-TRACT-15622,recorded_tract_map,Tract 15622,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 784/47-50; possible_nested_subdivision_map.
LH-TRACT-15623,recorded_tract_map,Tract 15623,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-04,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 784/19-21; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15624,recorded_tract_map,Tract 15624,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-04-06,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 798/38-43; possible_nested_subdivision_map.
LH-TRACT-15625,recorded_tract_map,Tract 15625,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-04-22,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 782/38-44; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15626,recorded_tract_map,Tract 15626,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-07,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 784/32-35; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15627,recorded_tract_map,Tract 15627,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 785/17-20; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15628,recorded_tract_map,Tract 15628,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-25,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 786/23-26; possible_nested_subdivision_map.
LH-TRACT-15629,recorded_tract_map,Tract 15629,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-06-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 787/43-47; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15630,recorded_tract_map,Tract 15630,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-05-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 785/10-16; possible_nested_subdivision_map.
LH-TRACT-15631,recorded_tract_map,Tract 15631,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-09-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 795/26-30; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15632,recorded_tract_map,Tract 15632,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,1999-08-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 790/34-37; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15793,recorded_tract_map,Tract 15793,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2008-12-24,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 897/28-33; standalone_or_unresolved.
LH-TRACT-15813,recorded_tract_map,Tract 15813,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 795/1-16; possible_parent_map.
LH-TRACT-15827,recorded_tract_map,Tract 15827,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-05-10,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 797/32-39; possible_parent_map.
LH-TRACT-15884,recorded_tract_map,Tract 15884,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-01-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 794/33-44; possible_parent_map.
LH-TRACT-15885,recorded_tract_map,Tract 15885,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-07-27,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 804/30-33; possible_nested_subdivision_map.
LH-TRACT-15886,recorded_tract_map,Tract 15886,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-10-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 807/25-28; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15887,recorded_tract_map,Tract 15887,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-02,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 802/25-28; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15888,recorded_tract_map,Tract 15888,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-02,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 802/14-17; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15901,recorded_tract_map,Tract 15901,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-07-06,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 803/48-50; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15902,recorded_tract_map,Tract 15902,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-16,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 803/28-30; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15903,recorded_tract_map,Tract 15903,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-16,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 803/22-27; possible_nested_subdivision_map.
LH-TRACT-15904,recorded_tract_map,Tract 15904,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-02,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 800/48-50; possible_nested_subdivision_map.
LH-TRACT-15905,recorded_tract_map,Tract 15905,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-08-16,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 805/6-8; possible_nested_subdivision_map.
LH-TRACT-15906,recorded_tract_map,Tract 15906,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-16,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 803/16-21; possible_nested_subdivision_map.
LH-TRACT-15907,recorded_tract_map,Tract 15907,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-08-25,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 805/26-28; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15908,recorded_tract_map,Tract 15908,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-06-29,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 820/10-15; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15909,recorded_tract_map,Tract 15909,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-06-29,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 820/29-34; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15910,recorded_tract_map,Tract 15910,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-10-13,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 806/33-37; possible_nested_subdivision_map.
LH-TRACT-15911,recorded_tract_map,Tract 15911,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-10-11,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 806/27-30; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15912,recorded_tract_map,Tract 15912,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-06-22,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 804/1-4; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15914,recorded_tract_map,Tract 15914,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-05-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 817/45-47; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15915,recorded_tract_map,Tract 15915,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2000-08-25,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 805/29-34; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-15985,recorded_tract_map,Tract 15985,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2003-04-04,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 842/8-20; partial_overlap_review_required.
LH-TRACT-15986,recorded_tract_map,Tract 15986,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2003-08-28,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 849/1-15; possible_parent_map.
LH-TRACT-15987,recorded_tract_map,Tract 15987,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-12-17,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 839/1-18; possible_parent_map.
LH-TRACT-15988,recorded_tract_map,Tract 15988,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_invalid_repaired_for_measurement,2004-01-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 854/6-16; possible_nested_map_review_required.
LH-TRACT-15989,recorded_tract_map,Tract 15989,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2004-11-15,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 863/8-14; standalone_or_unresolved.
LH-TRACT-15990,recorded_tract_map,Tract 15990,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2004-10-28,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 862/34-41; standalone_or_unresolved.
LH-TRACT-16025,recorded_tract_map,Tract 16025,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-01-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 812/22-29; possible_parent_map.
LH-TRACT-16063,recorded_tract_map,Tract 16063,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-05-25,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 818/32-40; partial_overlap_review_required.
LH-TRACT-16101,recorded_tract_map,Tract 16101,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-06-29,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 820/21-25; possible_nested_subdivision_map.
LH-TRACT-16102,recorded_tract_map,Tract 16102,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-06-12,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 819/1-5; possible_nested_subdivision_map.
LH-TRACT-16103,recorded_tract_map,Tract 16103,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-06-12,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 817/1-5; possible_nested_subdivision_map.
LH-TRACT-16104,recorded_tract_map,Tract 16104,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-07-31,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 821/35-40; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16105,recorded_tract_map,Tract 16105,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-04-01,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 823/18-26; possible_nested_subdivision_map.
LH-TRACT-16114,recorded_tract_map,Tract 16114,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-07-31,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 821/41-44; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16115,recorded_tract_map,Tract 16115,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_invalid_repaired_for_measurement,2002-02-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 825/40-45; possible_nested_subdivision_map.
LH-TRACT-16116,recorded_tract_map,Tract 16116,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-05-16,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 830/35-40; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16117,recorded_tract_map,Tract 16117,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-12-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 826/1-3; possible_nested_subdivision_map.
LH-TRACT-16118,recorded_tract_map,Tract 16118,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-10-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 823/30-33; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16119,recorded_tract_map,Tract 16119,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-12-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 824/48-50; possible_nested_subdivision_map.
LH-TRACT-16120,recorded_tract_map,Tract 16120,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-10-12,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 822/40-43; possible_nested_subdivision_map.
LH-TRACT-16121,recorded_tract_map,Tract 16121,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-12-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 825/46-50; possible_nested_subdivision_map.
LH-TRACT-16122,recorded_tract_map,Tract 16122,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-12-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 823/34-38; possible_nested_subdivision_map.
LH-TRACT-16126,recorded_tract_map,Tract 16126,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-11-08,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 824/15-20; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16127,recorded_tract_map,Tract 16127,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-07-30,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 821/29-34; possible_nested_subdivision_map.
LH-TRACT-16155,recorded_tract_map,Tract 16155,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-01-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 812/30-39; possible_parent_map.
LH-TRACT-16156,recorded_tract_map,Tract 16156,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-01-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 812/40-48; possible_parent_map.
LH-TRACT-16157,recorded_tract_map,Tract 16157,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-01-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 813/1-9; possible_parent_map.
LH-TRACT-16203,recorded_tract_map,Tract 16203,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-01-24,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 826/8-20; possible_parent_map.
LH-TRACT-16234,recorded_tract_map,Tract 16234,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2001-12-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 825/19-29; possible_parent_map.
LH-TRACT-16235,recorded_tract_map,Tract 16235,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-02-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 825/30-39; possible_parent_map.
LH-TRACT-16236,recorded_tract_map,Tract 16236,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-05-29,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 832/24-29; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16237,recorded_tract_map,Tract 16237,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-08-14,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 835/17-20; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16238,recorded_tract_map,Tract 16238,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-08-21,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 835/21-25; possible_nested_subdivision_map.
LH-TRACT-16239,recorded_tract_map,Tract 16239,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-06-26,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 834/9-15; possible_nested_subdivision_map.
LH-TRACT-16240,recorded_tract_map,Tract 16240,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-06-28,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 834/22-25; documented_or_interpreted_nested_subdivision_map.
LH-TRACT-16241,recorded_tract_map,Tract 16241,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_invalid_repaired_for_measurement,2003-02-25,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 840/32-36; possible_nested_subdivision_map.
LH-TRACT-16242,recorded_tract_map,Tract 16242,,,historical_parent_unresolved,LH-SRC-OC-TRACTS,original_valid,2002-06-18,,high,"Feature intersects the current CDP query extent, but planning-area, village, amendment, and lifecycle relationships require documentary crosswalks.",County book/page MM 833/24-27; possible_nested_subdivision_map.
