id,dateStart,dateEnd,temporalPrecision,eventType,title,placeName,featureId,status,statementClass,confidence,sourceIds,sourceLocator,interpretationMethod,conflictNotes,notes
LH-EVT-021,2003-07-01,2003-07-31,month,library,Ladera Ranch Library opens,Ladera Ranch,LH-FEAT-LIBRARY,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,07/2003,direct transcription,,Exact day not published
LH-EVT-022,2003-07-30,,day,plan_revision,Ladera Planned Community Program revised,Ladera Ranch,LH-FEAT-COMMUNITY,revised,documented_exact,high,LH-SRC-OC-PC,Cover,direct transcription,,Statistical summary amended by Orange County Planning Commission
LH-EVT-023,2003-08-27,,day,school,Ladera Ranch School opens,Ladera Ranch School,LH-SCHOOL-LRES,open,documented_exact,high,LH-SRC-CUSD-LRES;LH-SRC-CUSD-LRMS,School overviews,direct transcription,LARMAC retrospective groups the schools under July 2003; official school reports give August 27,Shared elementary and middle campus
LH-EVT-024,2004-01-01,2004-01-31,month,sales,5087 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,01/2004,direct transcription,,Timeline reports 1100 new homes since prior milestone
LH-EVT-025,2004-01-01,2004-12-31,year,school,Ladera Ranch School splits into elementary and middle schools,Ladera Ranch School,LH-SCHOOL-LRMS,open,documented_exact,high,LH-SRC-CUSD-LRMS,School overview,direct transcription,,Exact date not published
LH-EVT-026,2004-12-01,2004-12-31,month,clubhouse,Flintridge and Covenant Hills village clubhouses open,Ladera Ranch,LH-FEAT-VILLAGE-CLUBHOUSES,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,12/2004,direct transcription,,Exact days not published
LH-EVT-027,2005-02-01,2005-02-28,month,sales,5879 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,02/2005,direct transcription,,Timeline reports 792 new homes since prior milestone
LH-EVT-028,2005-08-24,,day,school,Oso Grande Elementary opens,Oso Grande Elementary,LH-SCHOOL-OSO-GRANDE,open,documented_exact,high,LH-SRC-CDE-OSO,School directory details,direct transcription,,Official registry date
LH-EVT-029,2005-11-01,2005-11-30,month,park,Skate Park Wagsdale Park and Terramor Water Park open,Ladera Ranch,LH-FEAT-2005-PARKS,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,11/2005,direct transcription,,Exact days not published
LH-EVT-030,2006-03-01,2006-03-31,month,sales,6380 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,03/2006,direct transcription,,Timeline reports 501 new homes since prior milestone
LH-EVT-031,2006-01-01,2006-12-31,year,substantial_completion,Community substantially completed,Ladera Ranch,LH-FEAT-COMMUNITY,substantially_complete,documented_approximate,medium,LH-SRC-ULI-CASE,Case study summary,direct transcription,,Custom lots and later sales remained
LH-EVT-032,2007-04-01,2007-04-30,month,sales,Community sells out except custom lots,Ladera Ranch,LH-FEAT-SALES,sold_out_except_custom,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,04/2007,direct transcription,,Timeline reports 6585 total new homes sold
LH-EVT-033,2008-01-01,2008-01-31,month,sales,6631 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,01/2008,direct transcription,,Later custom-lot completion remains unresolved
LH-EVT-M5-001,1998-01-20,,day,builder_selection,"Nine builders selected for the initial approximately 1,000-home phase",Ladera Ranch Phase I,LH-PHASE-I,reported,documented_exact,medium,LH-SRC-LAT-BUILDERS-1998,Contemporary article dated 1998-01-20,direct transcription,The 1999 announcement lists eight builders and revised allocations; both dated selections are retained.,Selection is not a construction-start date.
LH-EVT-M5-002,1999-05-04,,day,builder_selection,Eight Phase I builders and revised unit allocations announced,Oak Knoll,LH-VILLAGE-OAK-KNOLL,reported,documented_exact,medium,LH-SRC-LAT-PHASE1-1999,Contemporary article dated 1999-05-04,direct transcription,"Supersedes or revises the 1998 selection, but the article does not state the legal change mechanism.",Builder selection is not a physical-construction milestone.
LH-EVT-M5-003,1999-07-31,,day,model_and_sales_opening,Oak Knoll grand opening and model-home access,Oak Knoll,LH-VILLAGE-OAK-KNOLL,open,documented_exact,high,LH-SRC-LAT-OPENING-1999;LH-SRC-PROB-TRAILS-1999,Contemporary grand-opening and trade reports,source convergence,,Opening and sales evidence does not establish occupancy.
LH-EVT-M5-004,1999-11-29,,day,escrow_closing,Contemporary report dates first Oak Knoll residents' escrow closing,Oak Knoll,LH-VILLAGE-OAK-KNOLL,closed,documented_exact,medium,LH-SRC-LAT-FIRST-RESIDENT-1999,Contemporary article dated 1999-12-12,direct transcription,Official retrospective instead dates the first resident to 1999-12-14.,Named-address geometry is not published in the archived article.
LH-EVT-M5-005,1999-11-30,,day,first_reported_overnight_occupancy,Contemporary report says first Oak Knoll couple spent the night,Oak Knoll,LH-VILLAGE-OAK-KNOLL,occupied_without_full_utilities,documented_exact,medium,LH-SRC-LAT-FIRST-RESIDENT-1999,Contemporary article dated 1999-12-12,direct transcription,Official retrospective instead dates the first resident to 1999-12-14.,Article reports no gas or electricity that first night; no habitability conclusion is inferred.
LH-EVT-M5-006,2008-05-12,,day,road_construction_status,Crown Valley Parkway widening reported incomplete and ongoing,Crown Valley Parkway,LH-ROAD-CROWN-VALLEY-PKWY,reported_ongoing,documented_exact,medium,LH-SRC-OC-TRANSPORT-2008,Transportation survey packet pages 1-2 and comment summary,direct transcription of dated status reporting,,"Observation date only; exact construction start, end, and historical work geometry are unresolved."
