builderCandidates,builderProductIds,chronologyStatus,completionUpperBound,confidence,limitations,modelOrSalesOpening,neighborhoodName,neighborhoodPhaseId,officialVillageCode,reviewStatus,sourceIds,village
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-SARASOTA,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Sarasota 2,LH-NPH-01-SARASOTA-2,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Shea Homes,LH-PRODUCT-OAK-KNOLL-SHADY-LANE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Shady Lane,LH-NPH-01-SHADY-LANE,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Shea Homes,LH-PRODUCT-OAK-KNOLL-SYCAMORE-GROVE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Sycamore Grove (S),LH-NPH-01-SYCAMORE-GROVE-S,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,The Trails,LH-NPH-01-THE-TRAILS,1,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-1,Oak Knoll
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Whispering Creek 1,LH-NPH-01-WHISPERING-CREEK-1,1,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-1,Oak Knoll
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Whispering Creek 2,LH-NPH-01-WHISPERING-CREEK-2,1,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-1,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-WYETH,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Wyeth 1,LH-NPH-01-WYETH-1,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-WYETH,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Wyeth 2,LH-NPH-01-WYETH-2,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Warmington Homes,LH-PRODUCT-FLINTRIDGE-BELMONT-HILL,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Belmont Hill 1,LH-NPH-02-BELMONT-HILL-1,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
Warmington Homes,LH-PRODUCT-FLINTRIDGE-BELMONT-HILL,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Belmont Hill 2,LH-NPH-02-BELMONT-HILL-2,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
John Laing Homes,LH-PRODUCT-FLINTRIDGE-CHIMNEY-CORNERS,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Chimney Corners 1,LH-NPH-02-CHIMNEY-CORNERS-1,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
John Laing Homes,LH-PRODUCT-FLINTRIDGE-CHIMNEY-CORNERS,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Chimney Corners 2,LH-NPH-02-CHIMNEY-CORNERS-2,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
Centex Homes,LH-PRODUCT-FLINTRIDGE-CLIFTON-HEIGHTS,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Clifton Heights 1,LH-NPH-02-CLIFTON-HEIGHTS-1,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
Centex Homes,LH-PRODUCT-FLINTRIDGE-CLIFTON-HEIGHTS,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Clifton Heights 2,LH-NPH-02-CLIFTON-HEIGHTS-2,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-HAMPTON-ROAD,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Hampton Road 1,LH-NPH-02-HAMPTON-ROAD-1,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-HAMPTON-ROAD,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Hampton Road 2,LH-NPH-02-HAMPTON-ROAD-2,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Heritage Square (DMB),LH-NPH-02-HERITAGE-SQUARE-DMB,2,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-2,Flintridge
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Laurel Canyon Apts (DMB),LH-NPH-02-LAUREL-CANYON-APTS-DMB,2,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-2,Flintridge
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Lexington 1,LH-NPH-02-LEXINGTON-1,2,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-2,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-RESTON,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Reston 1,LH-NPH-02-RESTON-1,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-RESTON,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Reston 2,LH-NPH-02-RESTON-2,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
William Lyon Homes,LH-PRODUCT-FLINTRIDGE-RESTON,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Reston 3,LH-NPH-02-RESTON-3,2,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-2;LH-SRC-ACTIVERAIN-2010,Flintridge
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Reston 4,LH-NPH-02-RESTON-4,2,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-2,Flintridge
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Tamarind,LH-NPH-02-TAMARIND,2,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-2,Flintridge
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Tattershall,LH-NPH-02-TATTERSHALL,2,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-2,Flintridge
Greystone,LH-PRODUCT-TOWNSHIP-ALDENHOUSE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Aldenhouse (S),LH-NPH-03-ALDENHOUSE-S,3,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-3;LH-SRC-ACTIVERAIN-2010,Township
K. Hovnanian,LH-PRODUCT-TOWNSHIP-THE-GABLES,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,The Gables 1,LH-NPH-03-THE-GABLES-1,3,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-3;LH-SRC-ACTIVERAIN-2010,Township
K. Hovnanian,LH-PRODUCT-TOWNSHIP-THE-GABLES,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,The Gables 2,LH-NPH-03-THE-GABLES-2,3,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-3;LH-SRC-ACTIVERAIN-2010,Township
Centex Homes,LH-PRODUCT-TOWNSHIP-THREE-VINES,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Three Vines (S),LH-NPH-03-THREE-VINES-S,3,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-3;LH-SRC-ACTIVERAIN-2010,Township
Warmington Homes,LH-PRODUCT-AVENDALE-ASTORIA,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Astoria 1,LH-NPH-04-ASTORIA-1,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Warmington Homes,LH-PRODUCT-AVENDALE-ASTORIA,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Astoria 2,LH-NPH-04-ASTORIA-2,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Shea Homes,LH-PRODUCT-AVENDALE-BERKSHIRE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Berkshire (S),LH-NPH-04-BERKSHIRE-S,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-CANOPY-LANE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Canopy Lane 1,LH-NPH-04-CANOPY-LANE-1,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-CANOPY-LANE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Canopy Lane 2,LH-NPH-04-CANOPY-LANE-2,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-CANOPY-LANE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Canopy Lane 3,LH-NPH-04-CANOPY-LANE-3,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Warmington,LH-PRODUCT-AVENDALE-CHARLESTON-PLACE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Charleston Place 1 (S),LH-NPH-04-CHARLESTON-PLACE-1-S,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Christopher Homes at Ladera Ranch,LH-NPH-04-CHRISTOPHER-HOMES-AT-LADERA-RANCH,4,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-4,Avendale
Standard Pacific,LH-PRODUCT-AVENDALE-FRONT-STREET,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Front Street,LH-NPH-04-FRONT-STREET,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Greenbrier 1 (S),LH-NPH-04-GREENBRIER-1-S,4,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-4,Avendale
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Greenbrier 2 (S),LH-NPH-04-GREENBRIER-2-S,4,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-4,Avendale
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Laurel Glen Apartments (DMB),LH-NPH-04-LAUREL-GLEN-APARTMENTS-DMB,4,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-4,Avendale
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Laurel Terrance Apartments (DMB),LH-NPH-04-LAUREL-TERRANCE-APARTMENTS-DMB,4,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-4,Avendale
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Remington Apt. (ING Clarion),LH-NPH-04-REMINGTON-APT-ING-CLARION,4,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-4,Avendale
Barratt American,LH-PRODUCT-AVENDALE-SAVANNAH,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Savannah,LH-NPH-04-SAVANNAH,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-ST-MAYS-ROAD,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,St. Mays Road (S),LH-NPH-04-ST-MAYS-ROAD-S,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
William Lyon Homes,LH-PRODUCT-AVENDALE-STERLING-GLEN,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Sterling Glen 1,LH-NPH-04-STERLING-GLEN-1,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
William Lyon Homes,LH-PRODUCT-AVENDALE-STERLING-GLEN,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Sterling Glen 2,LH-NPH-04-STERLING-GLEN-2,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-SUMNERS-WAY,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Sumners Way 1,LH-NPH-04-SUMNERS-WAY-1,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-SUMNERS-WAY,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Sumners Way 2,LH-NPH-04-SUMNERS-WAY-2,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Centex Homes,LH-PRODUCT-AVENDALE-TETHER-MOON,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Tether Moon 1,LH-NPH-04-TETHER-MOON-1,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Centex Homes,LH-PRODUCT-AVENDALE-TETHER-MOON,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Tether Moon 2,LH-NPH-04-TETHER-MOON-2,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
William Lyon Homes,LH-PRODUCT-AVENDALE-WEATHERHAVEN,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Weatherhaven,LH-NPH-04-WEATHERHAVEN,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-WILLOW-BEND,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Willow Bend 1,LH-NPH-04-WILLOW-BEND-1,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-WILLOW-BEND,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Willow Bend 2,LH-NPH-04-WILLOW-BEND-2,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-WILLOW-BEND,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Willow Bend 3,LH-NPH-04-WILLOW-BEND-3,4,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-4;LH-SRC-ACTIVERAIN-2010,Avendale
Standard Pacific,LH-PRODUCT-COVENANT-HILLS-ALISAL,product_level_milestones_available,2011-12-31,high,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Alisal 3,LH-NPH-05-ALISAL-3,5,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-5;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-AMARANTE,product_level_milestones_available,2011-12-31,high,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Amarante 1,LH-NPH-05-AMARANTE-1,5,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-5;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-AMARANTE,product_level_milestones_available,2011-12-31,high,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Amarante 2,LH-NPH-05-AMARANTE-2,5,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-5;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,Covenant Hills
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Amarante II/Bellataire II,LH-NPH-05-AMARANTE-II-BELLATAIRE-II,5,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-5,Covenant Hills
Warmington Homes,LH-PRODUCT-COVENANT-HILLS-ARBOLEDO,product_level_milestones_available,2011-12-31,high,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Arboledo,LH-NPH-05-ARBOLEDO,5,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-5;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-BELLATAIRE,product_level_milestones_available,2011-12-31,high,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Bellataire 1,LH-NPH-05-BELLATAIRE-1,5,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-5;LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,Covenant Hills
